response_id,theme_selfreported,verbatim
R001,eNPS,"My manager genuinely supports flexible working, it has changed my life."
R002,eNPS,Too many approval layers for the smallest decisions.
R003,Growth,No clarity on what it takes to move from Grade 2 to Grade 3.
R004,Growth,The EDGE programme was the best learning experience in my career here.
R005,Comp,"My increment did not reflect my Outstanding rating, very demotivating."
R006,Comp,Salary is fair but the variable pay calculation is a black box.
R007,Manager,My manager takes credit for the team's work in leadership reviews.
R008,Manager,"Best manager I have had, gives honest feedback every sprint."
R009,Workload,"Weekend releases have become normal, we are burning out."
R010,Workload,Workload is fine but meetings eat 4 hours daily.
R011,Facilities,Navi Mumbai campus food court needs more vegetarian options.
R012,Facilities,Creche facility at Ahmedabad office is excellent.
R013,Process,HRMS leave application fails on mobile every month-end.
R014,Process,"Onboarding was smooth, laptop on day one, badge in an hour."
R015,Culture,"Festival celebrations feel inclusive, Eid and Diwali both celebrated."
R016,Culture,Open-door policy exists on paper only in my department.
R017,Growth,Internal job postings are decided before they are posted.
R018,Manager,New manager micromanages every email I send.
R019,Comp,"Insurance now covers parents, big relief for me."
R020,Workload,Night shift allowance has not been revised in three years.
R021,Process,"Exit process took 70 days for my teammate, very poor experience."
R022,eNPS,Proud to tell people where I work.
R023,Culture,"Too much hierarchy, junior voices are not heard in townhalls."
R024,Growth,"Got two promotions in four years, growth is real if you perform."
